name_official,slug,lga,state,postcodes,centroid_lat,centroid_lon,distance_to_bne_cbd_km,label_lat,label_lon,record_hash
Lyons,lyons,Logan City,QLD,,-27.772662,152.864905,37.099,-27.774245,152.858106,
Marsden,marsden,Logan City,QLD,,-27.674342,153.098263,23.789,-27.674536,153.097027,
Munruben,munruben,Logan City,QLD,,-27.746572,153.031357,30.676,-27.74797,153.029286,
Meadowbrook,meadowbrook,Logan City,QLD,,-27.663926,153.144749,24.543,-27.664622,153.145919,
Mundoolun,mundoolun,Logan City,QLD,,-27.89941,153.071509,47.827,-27.894638,153.070121,
Veresdale Scrub,veresdale-scrub,Logan City,QLD,,-27.904859,153.006905,48.244,-27.905111,153.00622,
Woodhill,woodhill,Logan City,QLD,,-27.887332,152.96905,46.598,-27.884677,152.969604,
Woodridge,woodridge,Logan City,QLD,,-27.628453,153.105687,19.299,-27.627531,153.104313,
Regents Park,regents-park,Logan City,QLD,,-27.676672,153.041546,22.982,-27.676837,153.041675,
Wolffdene,wolffdene,Logan City,QLD,,-27.78117,153.173149,37.471,-27.783296,153.174252,
Waterford West,waterford-west,Logan City,QLD,,-27.692503,153.127056,26.653,-27.693277,153.12875,
Waterford,waterford,Logan City,QLD,,-27.708403,153.142063,28.852,-27.708329,153.131403,
Veresdale,veresdale,Logan City,QLD,,-27.909575,152.977224,48.962,-27.910764,152.978542,
Yarrabilba,yarrabilba,Logan City,QLD,,-27.823318,153.123768,40.367,-27.821758,153.123558,
Windaroo,windaroo,Logan City,QLD,,-27.745862,153.193415,34.812,-27.746253,153.192346,
Silverbark Ridge,silverbark-ridge,Logan City,QLD,,-27.789128,152.925687,36.721,-27.789108,152.926414,
Slacks Creek,slacks-creek,Logan City,QLD,,-27.641287,153.133833,21.827,-27.640011,153.128699,
Riverbend,riverbend,Logan City,QLD,,-27.828968,152.970589,40.163,-27.834182,152.956208,
Priestdale,priestdale,Logan City,QLD,,-27.607258,153.163953,20.497,-27.607272,153.166337,
Park Ridge South,park-ridge-south,Logan City,QLD,,-27.727444,153.039416,28.585,-27.728729,153.037699,
Park Ridge,park-ridge,Logan City,QLD,,-27.705399,153.062315,26.365,-27.703236,153.065426,
Shailer Park,shailer-park,Logan City,QLD,,-27.64973,153.177499,24.981,-27.651351,153.177219,
Rochedale South,rochedale-south,Logan City,QLD,,-27.599562,153.13166,17.82,-27.599681,153.13087,
Stockleigh,stockleigh,Logan City,QLD,,-27.776779,153.057619,34.168,-27.773243,153.056319,
Tanah Merah,tanah-merah,Logan City,QLD,,-27.671695,153.170314,26.574,-27.670795,153.170826,
Springwood,springwood,Logan City,QLD,,-27.620219,153.138251,20.068,-27.621043,153.139566,
